,Prob,Features,Class,Direction,Section
0,0.23616586605019588,micu,99231,Bottom,Evaluation and management
1,0.26943400981277327,showed,99231,Bottom,Evaluation and management
2,0.2788778135292352,egd,99231,Bottom,Evaluation and management
3,0.2812834708333795,respiratory failure,99231,Bottom,Evaluation and management
4,0.2886675442983212,respiratory,99231,Bottom,Evaluation and management
5,0.2923815924389261,family,99231,Bottom,Evaluation and management
6,0.294283864244874,iabp,99231,Bottom,Evaluation and management
7,0.2945846781206191,drink,99231,Bottom,Evaluation and management
8,0.2952126290404006,inhalation,99231,Bottom,Evaluation and management
9,0.2973264907071992,baseline,99231,Bottom,Evaluation and management
10,0.2975328440517957,evidence,99231,Bottom,Evaluation and management
11,0.29905095896069545,pressors,99231,Bottom,Evaluation and management
12,0.3005158959812606,frontal,99231,Bottom,Evaluation and management
13,0.30104492060594124,respiratory distress,99231,Bottom,Evaluation and management
14,0.3012471188799614,ed,99231,Bottom,Evaluation and management
15,0.30420515893286276,incision,99231,Bottom,Evaluation and management
16,0.30703245350435904,copd,99231,Bottom,Evaluation and management
17,0.30723917600399886,setting,99231,Bottom,Evaluation and management
18,0.3107787723199787,balloon pump,99231,Bottom,Evaluation and management
19,0.31139179490475605,qd,99231,Bottom,Evaluation and management
20,0.3145330595758546,med,99231,Bottom,Evaluation and management
21,0.3146575818546908,operation,99231,Bottom,Evaluation and management
22,0.3164403194197587,likely,99231,Bottom,Evaluation and management
23,0.31902595814815465,hrs,99231,Bottom,Evaluation and management
24,0.3193837409063542,qd day,99231,Bottom,Evaluation and management
25,0.319457791336248,presented,99231,Bottom,Evaluation and management
26,0.3200317312905277,colonoscopy,99231,Bottom,Evaluation and management
27,0.3224213443603583,labs,99231,Bottom,Evaluation and management
28,0.3228332824978996,ld ldh,99231,Bottom,Evaluation and management
29,0.3234434071988359,ldh,99231,Bottom,Evaluation and management
30,0.32350164252766433,balloon,99231,Bottom,Evaluation and management
31,0.32400447058835785,per day,99231,Bottom,Evaluation and management
32,0.3253782968975129,distress,99231,Bottom,Evaluation and management
33,0.3254990972860368,support,99231,Bottom,Evaluation and management
34,0.32575923725287814,albuterol,99231,Bottom,Evaluation and management
35,0.32803565552610464,iron,99231,Bottom,Evaluation and management
36,0.32826126714194453,difficult,99231,Bottom,Evaluation and management
37,0.33330624291566685,mcg,99231,Bottom,Evaluation and management
38,0.3350394074728691,abnormalities,99231,Bottom,Evaluation and management
39,0.3363068689403793,murmur abdomen,99231,Bottom,Evaluation and management
